fold_key	exact_spellings	semantic_status	taxonomy_status	reviewed_destination	import_status	final_master_path	batch_id
cervixback	CervixBack	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
blink3	blink3	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P115
bone_wfl	Bone_WFL	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
shell.wall_12	Shell.Wall_12	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
waki_r__slerp_kata_r__i40_x0__offset	waki_r__slerp_kata_r__i40_x0__offset	CLEAR	CLEAR	groupFile/Arms/RightArm	IMPORTED	groupFile/Arms/RightArm	P115
flex_thin_x	Flex_Thin_X	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
bippbg r finger1	BipPBG R Finger1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P115
earring_l_u_1	Earring_L_U_1	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
right little finger 1	Right little finger 1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P115
stipa	Stipa	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
opt_hand_right_middle1	OPT_Hand_Right_Middle1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P115
valvebiped.chord_joint	ValveBiped.chord_joint	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
bipfin l finger3	BipFin L Finger3	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P115
mattressroot	MattressRoot	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
ball_large	ball_large	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
bone19	Bone19	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
arm right shoulder adj b	arm right shoulder adj b	CLEAR	CLEAR	groupFile/Arms/RightArm	IMPORTED	groupFile/Arms/RightArm	P115
unused mot15_neck	unused MOT15_Neck	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	P115
bone 1073	bone 1073	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
muscle - abs	Muscle - Abs	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
veil_middle_3	VEIL_MIDDLE_3	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
upper lid	upper lid	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P115
cock-skinny	cock-skinny	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
bip01_pelvis004	Bip01_Pelvis004	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P115
polymsh	polymsh	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
toungend	ToungEnd	CLEAR	CLEAR	groupFile/Face/Tongue	IMPORTED	groupFile/Face/Tongue	P115
anus_open_pull_out	ANUS_OPEN_PULL_OUT	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
door up left	Door up left	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
head eye inner lower right	Head Eye Inner Lower Right	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P115
leg left butt 1	leg left butt 1	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P115
