fold_key	exact_spellings	semantic_status	taxonomy_status	reviewed_destination	import_status	final_master_path	batch_id
28	28	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
apron f2	Apron f2	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
arm right roll 1	arm right roll 1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
arm right shoulder twist2	arm right shoulder twist2	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bag back	Bag Back	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
belt back right a	belt back right a	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
bip collar l	bip collar l	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip upperarmbase l	bip upperarmbase l	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip01_r_upperarm016	Bip01_R_UpperArm016	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip_bobby_l_foretwist1	Bip_BOBBY_L_ForeTwist1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip_clockcollarback_l	bip_ClockCollarBack_L	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
bip_eardown1_l	bip_earDown1_l	CLEAR	CLEAR	groupFile/Face/Ears	IMPORTED	groupFile/Face/Ears	1
bip_fpinky01_r	Bip_FPinky01_R	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bip_l_neck_b	bip_l_neck_b	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	1
bip_stone _r_finger_globe_1_02	Bip_STONE _R_Finger_Globe_1_02	PARTIAL	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bip_tail_d_05	bip_tail_d_05	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
bip_tailc01	bip_tailC01	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
bipbrk drink	BipBrk Drink	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
bipbrk r finger4	BipBrk R Finger4	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bipqwn l finger3	BipQwn L Finger3	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
bipqwn r finger3	BipQwn R Finger3	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bld_gen_army_tent_medium_a_bottom_a_mesh	BLD_GEN_Army_Tent_Medium_A_Bottom_A_Mesh	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
body-r-hard-nipple	Body-R-Hard-Nipple	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
bone._r	Bone._R	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
botshrink	BotShrink	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
bracket	bracket	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
browllower	BrowLLower	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	1
bulgeanimbig1	BulgeAnimBig1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
c4	C4	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
c_dred_l1_07	C_Dred_L1_07	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
c_tiel_c10	C_TieL_C10	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
chain_3	Chain_3; chain_3	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
chain_7	chain_7	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
chocobocharm	ChocoboCharm	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
cloth right 1	cloth right 1	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
cloth_back_a_4	cloth_back_A_4	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
crow_3.clavical_r	Crow_3.Clavical_R	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
crow_3.femur_r	Crow_3.Femur_R	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
def-brows2_r	DEF-brows2_R	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	1
eyeblink_right_out	eyeBlink_Right_OUT	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
eyes_symmetric	eyes_symmetric	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
five_bullet00	Five_Bullet00	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
flipoutrighttop	FlipoutRightTop	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
front_lift1	front_lift1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
frontlower	FrontLower	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
fur_gen_pillow_sitting_b_mesh	FUR_GEN_Pillow_Sitting_B_mesh	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
fur_gen_pillow_sitting_d_mesh.001	FUR_GEN_Pillow_Sitting_D_mesh.001	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
gear.holster	Gear.Holster	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
head eyeball middle	head eyeball middle	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
headfurtop.r	HeadFurTop.R	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
helpthighbackr	HelpThighBackR	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
hurtr	HurtR	CLEAR	CLEAR	groupFile/Face/Expressions	IMPORTED	groupFile/Face/Expressions	1
ivy.sword	Ivy.Sword	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
key.s	Key.S	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
key.x	Key.X	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
l collarc a phy	L CollarC a Phy	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
l sideburn c phy	l sideburn c phy	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
l ujacketb spo	L uJacketB Spo	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
left_stomach_buldge	Left_stomach_buldge	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
leftfinger02	LeftFinger02	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
leg back ankle right	leg back ankle right	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
leg_bone_correct_fl_01	leg_bone_correct_fl_01	CLEAR	CLEAR	groupFile/Correctives	IMPORTED	groupFile/Correctives	1
liplower_r4	lipLower_R4	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
liplower_right2	lipLower_Right2	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
lipsbottomraise	lipsbottomraise	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
ltoepinky02	lToePinky02	CLEAR	CLEAR	groupFile/Toes/LeftToes	IMPORTED	groupFile/Toes/LeftToes	1
nostrilup	NostrilUp	CLEAR	CLEAR	groupFile/Face/Mid Face	IMPORTED	groupFile/Face/Mid Face	1
null.001	Null.001	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
object003	Object003	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
object47	Object47	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
opt_as_l_upleg_b	OPT_AS_L_UpLeg_B	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
penus 1	penus 1	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	1
pillow 1	Pillow 1	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
pussy_tighten	pussy_tighten	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
r_finger1b	r_finger1b	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
right index finger 1 grip 1	Right index finger 1 grip 1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
rindex	RIndex	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
shouldershrink	Shouldershrink	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
sign07	sign07	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
silencer	silencer; Silencer	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
sk_tail03	SK_tail03	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
student.front_1_jiggle	Student.Front_1_jiggle	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
sword_3	sword_3	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
taurenmale_hd_bone_90	taurenmale_hd_bone_90	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
third_arms_r_1	Third_Arms_R_1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
tie_4	Tie_4	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
tipsmall	tipsmall	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
toplid_r3	toplid_R3	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
torso pipe b r 1a	torso pipe B R 1a	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
unused dogmeat_eye_r	unused dogmeat_eye_r	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
unused.050	unused.050	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
unusedbone091	unusedbone091	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
upperarm_left	upperarm_left	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
v_weapon.flashbang_parent	v_weapon.Flashbang_Parent	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
v_weapon.left_middle03	v_weapon.Left_Middle03	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
valvebiped.bip01_l_index03	ValveBiped.Bip01_L_Index03	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
valvebiped.bip01_r_ring	ValveBiped.Bip01_R_Ring	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
wep_gl_base	WEP_GL_Base	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
wide eye	Wide eye	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
wing_left_1_1	Wing_Left_1_1	CLEAR	CLEAR	groupFile/Wings	IMPORTED	groupFile/Wings	1
_right_z_up	_right_z_up	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
anusopensuitexposedtorn	AnusOpenSuitExposedTorn	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
apron e2	Apron e2	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
arm left wrist ctrl 1	arm left wrist ctrl 1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	2
bas.side_right_1_jiggle	BAS.Side_Right_1_jiggle	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
bellyin-topclothed	BellyIn-topclothed	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
belt_19	belt_19	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
bip01_r_thigh011	Bip01_R_Thigh011	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
bip01_spine2_002	Bip01_Spine2_002	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	2
bip_bobby_l_finger_globe_2_02	Bip_BOBBY_L_Finger_Globe_2_02	PARTIAL	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	2
bip_l_index_03	bip_l_index_03	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	2
bip_r_hip	bip_r_hip	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
bip_tail_d_02	bip_tail_d_02	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	2
bobcut.rear_left_3_jiggle	Bobcut.Rear_Left_3_jiggle	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	2
body-r-nipple-pull	Body-R-Nipple-Pull	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
bone 706	bone 706	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
bone.001_l.002	Bone.001_L.002	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
bone._l	Bone._L	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
bone_skin_099	Bone_skin_099	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
bonehigh02	BoneHigh02	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
bottomlid_r2	bottomlid_R2	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	2
bottomlip3.l	BottomLip3.L	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
bottomlip_r	bottomlip_R	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
bow left 1h	bow left 1h	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
bow right 1a	bow right 1a	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
boxa1	BoxA1	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
buffyleg	buffyLeg	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
c dlipout	C Dlipout	PARTIAL	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
canine_lbacklegtoe	Canine_LBackLegToe	CLEAR	CLEAR	groupFile/Toes/LeftToes	IMPORTED	groupFile/Toes/LeftToes	2
cape2_right5	CAPE2_RIGHT5	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
cape_6_r	cape_6_R	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
chain_21	chain_21	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
condom 4	condom 4	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
door2	Door2	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
dummy03	Dummy03	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
end/beam/shrink	End/beam/shrink	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
erectnips	ErectNips	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
f7	F7	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
feather 1a	feather 1a	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
feather 2a	feather 2a	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
frily_41.l	Frily_41.L	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
gentle_4	gentle_4	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
growlowerteeth	growLowerTeeth	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
hat_right_2_jiggle	Hat_Right_2_jiggle	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
holster_base	Holster_Base	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
horn2	Horn2; horn2	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
houjin 9_1	Houjin 9_1	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
juriclothes_reference	Juriclothes_reference	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
kargathbladefist_bone12	kargathbladefist_Bone12	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
key.white_25	Key.White_25	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
l bust01 sec root	l bust01 sec root	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	2
l_neck_19	l_neck_19	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	2
l_side_holster_0u_0v	l_side_holster_0u_0v	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
left index intermediate	Left Index Intermediate	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	2
leg back ankle left	leg back ankle left	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
leg left boot tassle 3a	leg left boot tassle 3a	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
leg left stc	leg left StC	PARTIAL	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
leg left thigh ctr4	leg left thigh ctr4	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
light 3	Light 3	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
lipupperinner_l	LipUpperInner_L	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
lipur	lipur	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
loincloth back 1	loincloth back 1	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
loot_gen_backpack_d_posed_a_mesh	LOOT_GEN_Backpack_D_Posed_A_Mesh	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
lowerarm_roll_left_0	lowerarm_roll_left_0	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	2
magnifier	Magnifier	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
mainlidsurprised	MainLidSurprised	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	2
middlewirebulgeup	MiddleWireBulgeUp	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
nostrils_pushin	nostrils_pushin	CLEAR	CLEAR	groupFile/Face/Mid Face	IMPORTED	groupFile/Face/Mid Face	2
object12	Object12	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
opt_acs_year_l8	OPT_acs_year_l8	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
opt_as_r_knee	OPT_AS_R_Knee	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
page2_f	Page2_F	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
pelvis_ctrl	pelvis_ctrl	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	2
piercing.belly_button_pendant_jiggle	Piercing.Belly_Button_Pendant_jiggle	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
pincer right mid	Pincer Right Mid	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
polysurface75	polySurface75	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
pupils-glaresizebig-l	Pupils-GlareSizeBig-L	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	2
r-ass-smack	R-Ass-Smack	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
right_chain	Right_chain	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
scrotumright	scrotumRight	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	2
shin thickness	Shin Thickness	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
show	show	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
sk_l_b_leg_1	SK_L_B_leg_1	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	2
squish-zx	squish-zx	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
strap_b.02	Strap_B.02	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
strap_b.03	Strap_B.03	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
tasselb	TasselB	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		2
tongehide	TONGEHIDE	CLEAR	CLEAR	groupFile/Face/Tongue	IMPORTED	groupFile/Face/Tongue	2
topmuscles	TopMuscles	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	2
torch3	Torch3	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
turtleneckhouseofmcleavage	TurtleNeckHouseofMCleavage	PARTIAL	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	2
unused c_i_position	unused C_I_Position	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	2
unused.029	unused.029	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	2
upperjaw2	Upperjaw2	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	2
upperraise eyes right	UpperRaise Eyes Right	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	2
valvebiped.bip01_r_forearm_helperbone	ValveBiped.Bip01_R_Forearm_Helperbone	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	2
wakazashi.tassel_front_7	Wakazashi.Tassel_Front_7	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
wep_bipod_leftleg	WEP_Bipod_LeftLeg	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
wep_wick2	WEP_Wick2	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	2
whl_2	whL_2	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		2
52	52	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
arm left arm twist 1	arm left arm twist 1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	3
arm right finger 2	arm right finger 2	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	3
backhair4.001	backhair4.001	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	3
band.bend_right_1	Band.Bend_Right_1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		3
belly inflat	Belly Inflat	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	3
belly-bottomnude	Belly-bottomnude	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		3
bikini boobs upward r	Bikini Boobs Upward R	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	3
bip faceforeheadtop l	bip faceforeheadtop l	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	3
bip facetempleloout r	bip facetempleloout r	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	3
bip fring00 l	bip fring00 l	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	3
bip upperarmtwist2 r	bip upperarmtwist2 r	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	3
bip01_r_forearm009	Bip01_R_Forearm009	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	3
bip_balls_2_r	Bip_Balls_2_R	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	3
bip_frangehair1_l	bip_frangehair1_L	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	3
bip_mustache_r	bip_Mustache_R	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	3
bip_r_cloth_d_02	bip_r_cloth_d_02	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	3
bip_spine_0.002	bip_spine_0.002	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	3
bip_waist_sub	bip_waist_sub	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	3
bipbrk lthightwist	BipBrk LThighTwist	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	3
bone 709	bone 709	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
bone.001.l	Bone.001.L	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
bone036	Bone036	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
bone041	Bone041	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
bone093	Bone093	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		3
