exact_literal	ascii_fold_key	current_classification	final_master_path	human_review_disposition	original_proposed_path	review_row_id	sibling_family_count	scanner_source_lines	notes
dress front left e	dress front left e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1699	1	2, 3, 5, 2, 2	
dress front left f	dress front left f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2590	1	2, 3, 5, 2, 3	
dress front middle a	dress front middle a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1923	1	2, 3, 5, 2, 4	
dress front middle b	dress front middle b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1835	1	2, 3, 5, 2, 5	
dress front middle c	dress front middle c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2526	1	2, 3, 5, 2, 6	
dress front middle d	dress front middle d	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2281	1	2, 3, 5, 2, 7	
dress front middle e	dress front middle e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2409	1	2, 3, 5, 2, 8	
dress front middle f	dress front middle f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1627	1	2, 3, 5, 2, 9	
dress front middle g	dress front middle g	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1575	1	2, 3, 5, 3, 0	
dress front middle h	dress front middle h	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2265	1	2, 3, 5, 3, 1	
dress front right 1a	dress front right 1a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2239	1	2, 3, 5, 3, 2	
dress front right 1b	dress front right 1b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2179	1	2, 3, 5, 3, 3	
dress front right 1c	dress front right 1c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2402	1	2, 3, 5, 3, 4	
dress front right 1d	dress front right 1d	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2324	1	2, 3, 5, 3, 5	
dress front right 1e	dress front right 1e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1709	1	2, 3, 5, 3, 6	
dress front right 1f	dress front right 1f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2535	1	2, 3, 5, 3, 7	
dress front right 1g	dress front right 1g	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2375	1	2, 3, 5, 3, 8	
dress front right 1h	dress front right 1h	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2401	1	2, 3, 5, 3, 9	
dress front right 2a	dress front right 2a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1804	1	2, 3, 5, 4, 0	
dress front right 2b	dress front right 2b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1706	1	2, 3, 5, 4, 1	
dress front right 2c	dress front right 2c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2331	1	2, 3, 5, 4, 2	
dress front right 2d	dress front right 2d	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2579	1	2, 3, 5, 4, 3	
dress front right 2e	dress front right 2e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2096	1	2, 3, 5, 4, 4	
dress front right 2f	dress front right 2f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2026	1	2, 3, 5, 4, 5	
dress front right 2g	dress front right 2g	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2302	1	2, 3, 5, 4, 6	
dress front right 2h	dress front right 2h	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2066	1	2, 3, 5, 4, 7	
dress front right a	dress front right a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1976	1	2, 3, 5, 4, 8	
dress front right b	dress front right b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1633	1	2, 3, 5, 4, 9	
dress front right c	dress front right c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1908	1	2, 3, 5, 5, 0	
dress front right d	dress front right d	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2082	1	2, 3, 5, 5, 1	
dress front right e	dress front right e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2241	1	2, 3, 5, 5, 2	
dress front right f	dress front right f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2388	1	2, 3, 5, 5, 3	
dress front root	dress front root	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2168	1	2, 3, 5, 5, 4	
dress inner a	dress inner a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2560	1	2, 3, 5, 5, 5	
dress inner b	dress inner b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1567	1	2, 3, 5, 5, 6	
dress inner c	dress inner c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1632	1	2, 3, 5, 5, 7	
dress inner d	dress inner d	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1770	1	2, 3, 5, 5, 8	
dress inner e	dress inner e	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2100	1	2, 3, 5, 5, 9	
dress inner f	dress inner f	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1987	1	2, 3, 5, 6, 0	
dress right back 1	dress right back 1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2204	1	2, 3, 5, 6, 1	
dress right front 1	dress right front 1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2140	1	2, 3, 5, 6, 2	
Dress root	dress root	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2487	1	1, 2, 7, 2, 5	
dress side left 1	dress side left 1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2198	1	2, 3, 5, 6, 3	
dress side left 2	dress side left 2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2538	1	2, 3, 5, 6, 4	
Dress.Front_Center_1	dress.front_center_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1774	1	2, 0, 8, 1	
Dress.Front_Center_10	dress.front_center_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1659	1	4, 5, 8, 8	
Dress.Front_Center_11	dress.front_center_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2478	1	1, 2, 7, 2, 6	
Dress.Front_Center_12	dress.front_center_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1935	1	1, 2, 7, 2, 7	
Dress.Front_Center_13	dress.front_center_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1688	1	1, 2, 7, 2, 8	
Dress.Front_Center_14	dress.front_center_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2596	1	1, 2, 7, 2, 9	
Dress.Front_Center_15	dress.front_center_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2223	1	1, 2, 7, 3, 0	
Dress.Front_Center_2	dress.front_center_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2354	1	2, 0, 8, 2	
Dress.Front_Center_3	dress.front_center_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1884	1	2, 0, 8, 3	
Dress.Front_Center_4	dress.front_center_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1553	1	2, 0, 8, 4	
Dress.Front_Center_5	dress.front_center_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1682	1	2, 0, 8, 5	
Dress.Front_Center_6	dress.front_center_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1719	1	2, 0, 8, 6	
Dress.Front_Center_7	dress.front_center_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2459	1	2, 0, 8, 7	
Dress.Front_Center_8	dress.front_center_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1745	1	2, 0, 8, 8	
Dress.Front_Center_9	dress.front_center_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1641	1	2, 9, 6, 8	
Dress.Front_Left_1	dress.front_left_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1751	1	1, 1, 8, 8	
Dress.Front_Left_10	dress.front_left_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2582	1	2, 9, 6, 9	
Dress.Front_Left_11	dress.front_left_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2586	1	1, 2, 7, 3, 1	
Dress.Front_Left_12	dress.front_left_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1704	1	1, 2, 7, 3, 2	
Dress.Front_Left_13	dress.front_left_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2431	1	1, 2, 7, 3, 3	
Dress.Front_Left_14	dress.front_left_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2275	1	1, 2, 7, 3, 4	
Dress.Front_Left_2	dress.front_left_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1558	1	1, 1, 8, 9	
Dress.Front_Left_3	dress.front_left_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1569	1	1, 1, 9, 0	
Dress.Front_Left_4	dress.front_left_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2334	1	1, 1, 9, 1	
Dress.Front_Left_5	dress.front_left_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1618	1	1, 1, 9, 2	
Dress.Front_Left_6	dress.front_left_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1852	1	1, 1, 9, 3	
Dress.Front_Left_7	dress.front_left_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1968	1	1, 1, 9, 4	
Dress.Front_Left_8	dress.front_left_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1761	1	2, 0, 8, 9	
Dress.Front_Left_9	dress.front_left_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2555	1	2, 9, 7, 0	
Dress.Front_Right_1	dress.front_right_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2156	1	1, 1, 9, 5	
Dress.Front_Right_10	dress.front_right_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1548	1	2, 9, 7, 1	
Dress.Front_Right_11	dress.front_right_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2178	1	1, 2, 7, 3, 5	
Dress.Front_Right_12	dress.front_right_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1991	1	1, 2, 7, 3, 6	
Dress.Front_Right_13	dress.front_right_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2574	1	1, 2, 7, 3, 7	
Dress.Front_Right_14	dress.front_right_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1696	1	1, 2, 7, 3, 8	
Dress.Front_Right_15	dress.front_right_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2032	1	1, 2, 7, 3, 9	
Dress.Front_Right_16	dress.front_right_16	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2548	1	1, 2, 7, 4, 0	
Dress.Front_Right_17	dress.front_right_17	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2176	1	1, 2, 7, 4, 1	
Dress.Front_Right_2	dress.front_right_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2203	1	1, 1, 9, 6	
Dress.Front_Right_3	dress.front_right_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2384	1	1, 1, 9, 7	
Dress.Front_Right_4	dress.front_right_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2413	1	1, 1, 9, 8	
Dress.Front_Right_5	dress.front_right_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2042	1	1, 1, 9, 9	
Dress.Front_Right_6	dress.front_right_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1910	1	1, 2, 0, 0	
Dress.Front_Right_7	dress.front_right_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1978	1	1, 2, 0, 1	
Dress.Front_Right_8	dress.front_right_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2406	1	2, 0, 9, 0	
Dress.Front_Right_9	dress.front_right_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2195	1	2, 9, 7, 2	
Dress.Rear_Center_1	dress.rear_center_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2312	1	7, 3, 3	
Dress.Rear_Center_10	dress.rear_center_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2243	1	2, 9, 7, 3	
Dress.Rear_Center_11	dress.rear_center_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1624	1	4, 5, 8, 9	
Dress.Rear_Center_12	dress.rear_center_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1936	1	1, 2, 7, 4, 2	
Dress.Rear_Center_13	dress.rear_center_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2466	1	1, 2, 7, 4, 3	
Dress.Rear_Center_14	dress.rear_center_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2084	1	1, 2, 7, 4, 4	
Dress.Rear_Center_15	dress.rear_center_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1866	1	1, 2, 7, 4, 5	
Dress.Rear_Center_16	dress.rear_center_16	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2081	1	1, 2, 7, 4, 6	
Dress.Rear_Center_17	dress.rear_center_17	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2573	1	1, 2, 7, 4, 7	
Dress.Rear_Center_18	dress.rear_center_18	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2380	1	1, 2, 7, 4, 8	
Dress.Rear_Center_2	dress.rear_center_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2314	1	7, 3, 4	
Dress.Rear_Center_3	dress.rear_center_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1606	1	7, 3, 5	
Dress.Rear_Center_4	dress.rear_center_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2240	1	7, 3, 6	
Dress.Rear_Center_5	dress.rear_center_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2482	1	7, 3, 7	
Dress.Rear_Center_6	dress.rear_center_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1635	1	7, 3, 8	
Dress.Rear_Center_7	dress.rear_center_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2507	1	1, 2, 0, 2	
Dress.Rear_Center_8	dress.rear_center_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2467	1	1, 2, 0, 3	
Dress.Rear_Center_9	dress.rear_center_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2515	1	2, 9, 7, 4	
Dress.Rear_Left_1	dress.rear_left_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1963	1	7, 3, 9	
Dress.Rear_Left_10	dress.rear_left_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1731	1	2, 9, 7, 5	
Dress.Rear_Left_11	dress.rear_left_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2389	1	4, 5, 9, 0	
Dress.Rear_Left_12	dress.rear_left_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2209	1	1, 2, 7, 4, 9	
Dress.Rear_Left_13	dress.rear_left_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2251	1	1, 2, 7, 5, 0	
Dress.Rear_Left_14	dress.rear_left_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1975	1	1, 2, 7, 5, 1	
Dress.Rear_Left_15	dress.rear_left_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2378	1	1, 2, 7, 5, 2	
Dress.Rear_Left_16	dress.rear_left_16	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1729	1	1, 2, 7, 5, 3	
Dress.Rear_Left_2	dress.rear_left_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2222	1	7, 4, 0	
Dress.Rear_Left_3	dress.rear_left_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2427	1	7, 4, 1	
Dress.Rear_Left_4	dress.rear_left_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2160	1	7, 4, 2	
Dress.Rear_Left_5	dress.rear_left_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1582	1	7, 4, 3	
Dress.Rear_Left_6	dress.rear_left_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2284	1	7, 4, 4	
Dress.Rear_Left_7	dress.rear_left_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2338	1	1, 2, 0, 4	
Dress.Rear_Left_8	dress.rear_left_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2246	1	1, 2, 0, 5	
Dress.Rear_Left_9	dress.rear_left_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2546	1	2, 9, 7, 6	
Dress.Rear_Right_1	dress.rear_right_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2469	1	7, 4, 5	
Dress.Rear_Right_10	dress.rear_right_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1885	1	2, 9, 7, 7	
Dress.Rear_Right_11	dress.rear_right_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1816	1	4, 5, 9, 1	
Dress.Rear_Right_12	dress.rear_right_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1888	1	1, 2, 7, 5, 4	
Dress.Rear_Right_13	dress.rear_right_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2199	1	1, 2, 7, 5, 5	
Dress.Rear_Right_14	dress.rear_right_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2470	1	1, 2, 7, 5, 6	
Dress.Rear_Right_15	dress.rear_right_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2093	1	1, 2, 7, 5, 7	
Dress.Rear_Right_16	dress.rear_right_16	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2513	1	1, 2, 7, 5, 8	
Dress.Rear_Right_17	dress.rear_right_17	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1938	1	1, 2, 7, 5, 9	
Dress.Rear_Right_18	dress.rear_right_18	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2157	1	1, 2, 7, 6, 0	
Dress.Rear_Right_2	dress.rear_right_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2129	1	7, 4, 6	
Dress.Rear_Right_3	dress.rear_right_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2103	1	7, 4, 7	
Dress.Rear_Right_4	dress.rear_right_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1619	1	7, 4, 8	
Dress.Rear_Right_5	dress.rear_right_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1967	1	7, 4, 9	
Dress.Rear_Right_6	dress.rear_right_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2170	1	7, 5, 0	
Dress.Rear_Right_7	dress.rear_right_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2445	1	1, 2, 0, 6	
Dress.Rear_Right_8	dress.rear_right_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2255	1	1, 2, 0, 7	
Dress.Rear_Right_9	dress.rear_right_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2497	1	2, 9, 7, 8	
Dress.Side_Left_1	dress.side_left_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1717	1	7, 5, 1	
Dress.Side_Left_10	dress.side_left_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1779	1	2, 9, 7, 9	
Dress.Side_Left_11	dress.side_left_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2054	1	1, 2, 7, 6, 1	
Dress.Side_Left_12	dress.side_left_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2295	1	1, 2, 7, 6, 2	
Dress.Side_Left_13	dress.side_left_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2097	1	1, 2, 7, 6, 3	
Dress.Side_Left_14	dress.side_left_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2557	1	1, 2, 7, 6, 4	
Dress.Side_Left_2	dress.side_left_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2292	1	7, 5, 2	
Dress.Side_Left_3	dress.side_left_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2441	1	7, 5, 3	
Dress.Side_Left_4	dress.side_left_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1998	1	7, 5, 4	
Dress.Side_Left_5	dress.side_left_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1610	1	7, 5, 5	
Dress.Side_Left_6	dress.side_left_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2095	1	7, 5, 6	
Dress.Side_Left_7	dress.side_left_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2565	1	1, 2, 0, 8	
Dress.Side_Left_8	dress.side_left_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1574	1	1, 2, 0, 9	
Dress.Side_Left_9	dress.side_left_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2477	1	2, 9, 8, 0	
Dress.Side_Right_1	dress.side_right_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2572	1	7, 5, 7	
Dress.Side_Right_10	dress.side_right_10	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1966	1	2, 9, 8, 1	
Dress.Side_Right_11	dress.side_right_11	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2089	1	1, 2, 7, 6, 5	
Dress.Side_Right_12	dress.side_right_12	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1922	1	1, 2, 7, 6, 6	
Dress.Side_Right_13	dress.side_right_13	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1920	1	1, 2, 7, 6, 7	
Dress.Side_Right_14	dress.side_right_14	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2031	1	1, 2, 7, 6, 8	
Dress.Side_Right_15	dress.side_right_15	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2588	1	1, 2, 7, 6, 9	
Dress.Side_Right_16	dress.side_right_16	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1846	1	1, 2, 7, 7, 0	
Dress.Side_Right_17	dress.side_right_17	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2488	1	1, 2, 7, 7, 1	
Dress.Side_Right_2	dress.side_right_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1757	1	7, 5, 8	
Dress.Side_Right_3	dress.side_right_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2213	1	7, 5, 9	
Dress.Side_Right_4	dress.side_right_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2147	1	7, 6, 0	
Dress.Side_Right_5	dress.side_right_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1808	1	7, 6, 1	
Dress.Side_Right_6	dress.side_right_6	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2214	1	7, 6, 2	
Dress.Side_Right_7	dress.side_right_7	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1708	1	1, 2, 1, 0	
Dress.Side_Right_8	dress.side_right_8	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2258	1	1, 2, 1, 1	
Dress.Side_Right_9	dress.side_right_9	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1773	1	2, 9, 8, 2	
Dress2Down	dress2down	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1556	1	1, 2, 7, 7, 2	
Dress2Up	dress2up	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2578	1	1, 2, 7, 7, 3	
Dress2UpB	dress2upb	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1739	1	1, 2, 7, 7, 4	
