sexual_bones_order_position	exact_literal	source_provenance	prior_body_morphs_presentation_type
1559	bip_tit_00_L	Breast Bones	BONE
1560	bip_tit_00_r	Breast Bones	BONE
1561	bip_tit_0_L	Breast Bones	BONE
1562	bip_tit_0_R	Breast Bones	BONE
1563	bip_tit_01_L	Breast Bones	BONE
1564	bip_tit_01_r	Breast Bones	BONE
1565	bip_tit_1_L	Breast Bones	BONE
1566	bip_tit_1_R	Breast Bones	BONE
1567	bip_tit_02_L	Breast Bones	BONE
1568	bip_tit_02_r	Breast Bones	BONE
1569	bip_tit_2_L	Breast Bones	BONE
1570	bip_tit_2_R	Breast Bones	BONE
1571	bip_tit_03_L	Breast Bones	BONE
1572	bip_tit_03_r	Breast Bones	BONE
1573	bip_tit_3_L	Breast Bones	BONE
1574	bip_tit_3_R	Breast Bones	BONE
1575	bip_tit_04_L	Breast Bones	BONE
1576	bip_tit_04_r	Breast Bones	BONE
1577	bip_tit_4_L	Breast Bones	BONE
1578	bip_tit_4_R	Breast Bones	BONE
1579	bip_tit_05_L	Breast Bones	BONE
1580	bip_tit_05_r	Breast Bones	BONE
1581	bip_tit_5_L	Breast Bones	BONE
1582	bip_tit_5_R	Breast Bones	BONE
1583	bip_tit_06_L	Breast Bones	BONE
1584	bip_tit_06_r	Breast Bones	BONE
1585	bip_tit_6_L	Breast Bones	BONE
1586	bip_tit_6_R	Breast Bones	BONE
1587	bip_tit_07_L	Breast Bones	BONE
1588	bip_tit_07_r	Breast Bones	BONE
1589	bip_tit_7_L	Breast Bones	BONE
1590	bip_tit_7_R	Breast Bones	BONE
1591	bip_tit_08_L	Breast Bones	BONE
1592	bip_tit_08_r	Breast Bones	BONE
1593	bip_tit_8_L	Breast Bones	BONE
1594	bip_tit_8_R	Breast Bones	BONE
1595	bip_tit_09_L	Breast Bones	BONE
1596	bip_tit_09_r	Breast Bones	BONE
1597	bip_tit_9_L	Breast Bones	BONE
1598	bip_tit_9_R	Breast Bones	BONE
1599	bip_tit_10_L	Breast Bones	BONE
1600	bip_tit_10_r	Breast Bones	BONE
1601	bip_Titty_L	Breast Bones	BONE
1602	bip_Titty_R	Breast Bones	BONE
1603	bip_vag_L	Vagina Bones	BONE
1604	bip_vag_R	Vagina Bones	BONE
1605	bip_vag	Vagina Bones	BONE
1606	bip_Vag0_L	Vagina Bones	BONE
1607	bip_Vag0_R	Vagina Bones	BONE
1608	bip_Vag1_L	Vagina Bones	BONE
1609	bip_Vag1_R	Vagina Bones	BONE
1610	bip_Vag1	Vagina Bones	BONE
1611	bip_Vag2_L	Vagina Bones	BONE
1612	bip_Vag2_R	Vagina Bones	BONE
1613	bip_Vag2	Vagina Bones	BONE
1614	bip_Vag3_L	Vagina Bones	BONE
1615	bip_Vag3_R	Vagina Bones	BONE
1616	bip_Vag4_L	Vagina Bones	BONE
1617	bip_Vag4_R	Vagina Bones	BONE
1618	bip_Vag5_L	Vagina Bones	BONE
1619	bip_Vag5_R	Vagina Bones	BONE
1620	bip_Vag6_L	Vagina Bones	BONE
1621	bip_Vag6_R	Vagina Bones	BONE
1622	bip_Vag7_L	Vagina Bones	BONE
1623	bip_Vag7_R	Vagina Bones	BONE
1624	bip_Vag8_L	Vagina Bones	BONE
1625	bip_Vag8_R	Vagina Bones	BONE
1626	bip_Vag9_L	Vagina Bones	BONE
1627	bip_Vag9_R	Vagina Bones	BONE
1628	bip_Vag_0_L	Vagina Bones	BONE
1629	bip_Vag_0_R	Vagina Bones	BONE
1630	bip_Vag_1_L	Vagina Bones	BONE
1631	bip_Vag_1_R	Vagina Bones	BONE
1632	bip_Vag_2_L	Vagina Bones	BONE
1633	bip_Vag_2_R	Vagina Bones	BONE
1634	bip_Vag_3_L	Vagina Bones	BONE
1635	bip_Vag_3_R	Vagina Bones	BONE
1636	bip_Vag_B	Vagina Bones	BONE
1637	bip_vag_base	Vagina Bones	BONE
1638	bip_Vag_F	Vagina Bones	BONE
1639	bip_vag_inner_0_L	Vagina Bones	BONE
1640	bip_vag_inner_0_R	Vagina Bones	BONE
1641	bip_vag_inner_1_L	Vagina Bones	BONE
1642	bip_vag_inner_1_R	Vagina Bones	BONE
1643	bip_vag_inner_2_L	Vagina Bones	BONE
1644	bip_vag_inner_2_R	Vagina Bones	BONE
1645	bip_vag_inner_B	Vagina Bones	BONE
1646	bip_vag_inner_T	Vagina Bones	BONE
1647	bip_vag_outer_0_L	Vagina Bones	BONE
1648	bip_vag_outer_0_R	Vagina Bones	BONE
1649	bip_vag_outer_1_L	Vagina Bones	BONE
1650	bip_vag_outer_1_R	Vagina Bones	BONE
1651	bip_vag_outer_2_L	Vagina Bones	BONE
1652	bip_vag_outer_2_R	Vagina Bones	BONE
1653	bip_vag_outer_B	Vagina Bones	BONE
1654	bip_vag_outer_T	Vagina Bones	BONE
1655	Bip_Vagaina_L	Vagina Bones	BONE
1656	Bip_Vagaina_R	Vagina Bones	BONE
1657	Bip_Vagaina_L.000	Vagina Bones	BONE
1658	Bip_Vagaina_L.001	Vagina Bones	BONE
1659	Bip_Vagaina_L.002	Vagina Bones	BONE
1660	Bip_Vagaina_L.003	Vagina Bones	BONE
1661	Bip_Vagaina_L.004	Vagina Bones	BONE
1662	Bip_Vagaina_L.005	Vagina Bones	BONE
1663	Bip_Vagaina_L.006	Vagina Bones	BONE
1664	Bip_Vagaina_L.007	Vagina Bones	BONE
1665	Bip_Vagaina_L.008	Vagina Bones	BONE
1666	Bip_Vagaina_L.009	Vagina Bones	BONE
1667	Bip_Vagaina_L.010	Vagina Bones	BONE
1668	Bip_Vagaina_R.000	Vagina Bones	BONE
1669	Bip_Vagaina_R.001	Vagina Bones	BONE
1670	Bip_Vagaina_R.002	Vagina Bones	BONE
1671	Bip_Vagaina_R.003	Vagina Bones	BONE
1672	Bip_Vagaina_R.004	Vagina Bones	BONE
1673	Bip_Vagaina_R.005	Vagina Bones	BONE
1674	Bip_Vagaina_R.006	Vagina Bones	BONE
1675	Bip_Vagaina_R.007	Vagina Bones	BONE
1676	Bip_Vagaina_R.008	Vagina Bones	BONE
1677	Bip_Vagaina_R.009	Vagina Bones	BONE
1678	Bip_Vagaina_R.010	Vagina Bones	BONE
1679	Bip_Vagina_L	Vagina Bones	BONE
1680	Bip_Vagina_R	Vagina Bones	BONE
1681	bip_Vagina	Vagina Bones	BONE
1682	bip_vagina_0_L	Vagina Bones	BONE
1683	bip_vagina_0_R	Vagina Bones	BONE
1684	bip_vagina_0_B	Vagina Bones	BONE
1685	bip_vagina_0_F	Vagina Bones	BONE
1686	bip_vagina_1_L	Vagina Bones	BONE
1687	bip_vagina_1_R	Vagina Bones	BONE
1688	bip_vagina_1_B	Vagina Bones	BONE
1689	bip_vagina_1_F	Vagina Bones	BONE
1690	bip_Vagina_Bottom	Vagina Bones	BONE
1691	bip_Vagina_Clit	Vagina Bones	BONE
1692	bip_Vagina_L_1	Vagina Bones	BONE
1693	bip_Vagina_L_2	Vagina Bones	BONE
1694	bip_Vagina_Mast_R	Vagina Bones	BONE
1695	bip_Vagina_R_1	Vagina Bones	BONE
1696	bip_Vagina_R_2	Vagina Bones	BONE
1697	bip_Vagina_Top	Vagina Bones	BONE
1698	bip_VagRoot	Vagina Bones	BONE
1699	Bone.002_L.022	Vagina Bones	BONE
1700	Bone.002_L.023	Vagina Bones	BONE
1701	Bone.002_L.024	Vagina Bones	BONE
1702	Bone.002_L.025	Vagina Bones	BONE
1703	Bone.002_L.026	Vagina Bones	BONE
1704	Bone.002_R.022	Vagina Bones	BONE
1705	Bone.002_R.023	Vagina Bones	BONE
1706	Bone.002_R.024	Vagina Bones	BONE
1707	Bone.002_R.025	Vagina Bones	BONE
1708	Bone.002_R.026	Vagina Bones	BONE
1709	boob_L	Breast Bones	BONE
1710	boob_R	Breast Bones	BONE
1711	Boob01.L	Breast Bones	BONE
1712	Boob01.R	Breast Bones	BONE
1713	boob1	Breast Bones	BONE
1714	Boob02.L	Breast Bones	BONE
1715	Boob02.R	Breast Bones	BONE
1716	boob2	Breast Bones	BONE
1717	Boob03.L	Breast Bones	BONE
1718	Boob03.R	Breast Bones	BONE
1719	Boob04.L	Breast Bones	BONE
1720	Boob04.R	Breast Bones	BONE
1721	Boob 1.L	Breast Bones	BONE
1722	Boob 1.R	Breast Bones	BONE
1723	Boob 1 L	Breast Bones	BONE
1724	Boob 1 R	Breast Bones	BONE
1725	Boob 2.L	Breast Bones	BONE
1726	Boob 2.R	Breast Bones	BONE
1727	Boob 2 L	Breast Bones	BONE
1728	Boob 2 R	Breast Bones	BONE
1729	Boob 3 L	Breast Bones	BONE
1730	Boob 3 R	Breast Bones	BONE
1731	Boob L	Breast Bones	BONE
1732	Boob R	Breast Bones	BONE
1733	Boob.000.L	Breast Bones	BONE
1734	Boob.000.R	Breast Bones	BONE
1735	Boob.001.L	Breast Bones	BONE
1736	Boob.001.R	Breast Bones	BONE
1737	Boob.002.L	Breast Bones	BONE
1738	Boob.002.R	Breast Bones	BONE
1739	Boob.003.L	Breast Bones	BONE
1740	Boob.003.R	Breast Bones	BONE
1741	Boob.004.L	Breast Bones	BONE
1742	Boob.004.R	Breast Bones	BONE
1743	Boob.005.L	Breast Bones	BONE
1744	Boob.005.R	Breast Bones	BONE
1745	Boob.006.L	Breast Bones	BONE
1746	Boob.006.R	Breast Bones	BONE
1747	Boob.007.L	Breast Bones	BONE
1748	Boob.007.R	Breast Bones	BONE
1749	Boob.008.L	Breast Bones	BONE
1750	Boob.008.R	Breast Bones	BONE
1751	Boob.009.L	Breast Bones	BONE
1752	Boob.009.R	Breast Bones	BONE
1753	Boob.010.L	Breast Bones	BONE
1754	Boob.010.R	Breast Bones	BONE
1755	Boob.011.L	Breast Bones	BONE
1756	Boob.011.R	Breast Bones	BONE
1757	Boob.012.L	Breast Bones	BONE
1758	Boob.012.R	Breast Bones	BONE
1759	Boob.013.L	Breast Bones	BONE
1760	Boob.013.R	Breast Bones	BONE
1761	Boob.014.L	Breast Bones	BONE
1762	Boob.014.R	Breast Bones	BONE
1763	Boob.015.L	Breast Bones	BONE
1764	Boob.015.R	Breast Bones	BONE
1765	Boob.016.L	Breast Bones	BONE
1766	Boob.016.R	Breast Bones	BONE
1767	Boob.017.L	Breast Bones	BONE
1768	Boob.017.R	Breast Bones	BONE
1769	Boob.018.L	Breast Bones	BONE
1770	Boob.018.R	Breast Bones	BONE
1771	Boob.019.L	Breast Bones	BONE
1772	Boob.019.R	Breast Bones	BONE
1773	Boob.020.L	Breast Bones	BONE
1774	Boob.020.R	Breast Bones	BONE
1775	Boob.021.L	Breast Bones	BONE
1776	Boob.021.R	Breast Bones	BONE
1777	Boob.022.L	Breast Bones	BONE
1778	Boob.022.R	Breast Bones	BONE
1779	Boob.023.L	Breast Bones	BONE
1780	Boob.023.R	Breast Bones	BONE
1781	Boob.024.L	Breast Bones	BONE
1782	Boob.024.R	Breast Bones	BONE
1783	Boob.025.L	Breast Bones	BONE
1784	Boob.025.R	Breast Bones	BONE
1785	Boob.026.L	Breast Bones	BONE
1786	Boob.026.R	Breast Bones	BONE
1787	Boob.027.L	Breast Bones	BONE
1788	Boob.027.R	Breast Bones	BONE
1789	Boob.028.L	Breast Bones	BONE
1790	Boob.028.R	Breast Bones	BONE
1791	Boob.029.L	Breast Bones	BONE
1792	Boob.029.R	Breast Bones	BONE
1793	Boob.030.L	Breast Bones	BONE
1794	Boob.030.R	Breast Bones	BONE
1795	Boob.L	Breast Bones	BONE
1796	Boob.R	Breast Bones	BONE
1797	Boob_000_L	Breast Bones	BONE
1798	Boob_000_R	Breast Bones	BONE
1799	Boob_0_L	Breast Bones	BONE
1800	Boob_0_R	Breast Bones	BONE
1801	Boob_001_L	Breast Bones	BONE
1802	Boob_001_R	Breast Bones	BONE
1803	Boob_1_L	Breast Bones	BONE
1804	Boob_1_R	Breast Bones	BONE
1805	Boob_002_L	Breast Bones	BONE
1806	Boob_002_R	Breast Bones	BONE
1807	Boob_2_L	Breast Bones	BONE
1808	Boob_2_R	Breast Bones	BONE
1809	L_boob_2	Breast Bones	BONE
1810	R_boob_2	Breast Bones	BONE
1811	Boob_003_L	Breast Bones	BONE
1812	Boob_003_R	Breast Bones	BONE
1813	Boob_3_L	Breast Bones	BONE
1814	Boob_3_R	Breast Bones	BONE
1815	Boob_004_L	Breast Bones	BONE
1816	Boob_004_R	Breast Bones	BONE
1817	Boob_4_L	Breast Bones	BONE
1818	Boob_4_R	Breast Bones	BONE
1819	Boob_005_L	Breast Bones	BONE
1820	Boob_005_R	Breast Bones	BONE
1821	Boob_5_L	Breast Bones	BONE
1822	Boob_5_R	Breast Bones	BONE
1823	Boob_006_L	Breast Bones	BONE
1824	Boob_006_R	Breast Bones	BONE
1825	Boob_6_L	Breast Bones	BONE
1826	Boob_6_R	Breast Bones	BONE
1827	Boob_007_L	Breast Bones	BONE
1828	Boob_007_R	Breast Bones	BONE
1829	Boob_7_L	Breast Bones	BONE
1830	Boob_7_R	Breast Bones	BONE
1831	Boob_008_L	Breast Bones	BONE
1832	Boob_008_R	Breast Bones	BONE
1833	Boob_8_L	Breast Bones	BONE
1834	Boob_8_R	Breast Bones	BONE
1835	Boob_009_L	Breast Bones	BONE
1836	Boob_009_R	Breast Bones	BONE
1837	Boob_9_L	Breast Bones	BONE
1838	Boob_9_R	Breast Bones	BONE
1839	Boob_010_L	Breast Bones	BONE
1840	Boob_010_R	Breast Bones	BONE
1841	Boob_10_L	Breast Bones	BONE
1842	Boob_10_R	Breast Bones	BONE
1843	Boob_011_L	Breast Bones	BONE
1844	Boob_011_R	Breast Bones	BONE
1845	Boob_012_L	Breast Bones	BONE
1846	Boob_012_R	Breast Bones	BONE
1847	Boob_013_L	Breast Bones	BONE
1848	Boob_013_R	Breast Bones	BONE
1849	Boob_014_L	Breast Bones	BONE
1850	Boob_014_R	Breast Bones	BONE
1851	Boob_015_L	Breast Bones	BONE
1852	Boob_015_R	Breast Bones	BONE
1853	Boob_016_L	Breast Bones	BONE
1854	Boob_016_R	Breast Bones	BONE
1855	Boob_017_L	Breast Bones	BONE
1856	Boob_017_R	Breast Bones	BONE
1857	Boob_018_L	Breast Bones	BONE
1858	Boob_018_R	Breast Bones	BONE
1859	Boob_019_L	Breast Bones	BONE
1860	Boob_019_R	Breast Bones	BONE
1861	Boob_020_L	Breast Bones	BONE
1862	Boob_020_R	Breast Bones	BONE
1863	Boob_021_L	Breast Bones	BONE
1864	Boob_021_R	Breast Bones	BONE
1865	Boob_022_L	Breast Bones	BONE
1866	Boob_022_R	Breast Bones	BONE
1867	Boob_023_L	Breast Bones	BONE
1868	Boob_023_R	Breast Bones	BONE
1869	Boob_024_L	Breast Bones	BONE
1870	Boob_024_R	Breast Bones	BONE
1871	Boob_025_L	Breast Bones	BONE
1872	Boob_025_R	Breast Bones	BONE
1873	Boob_026_L	Breast Bones	BONE
1874	Boob_026_R	Breast Bones	BONE
1875	Boob_027_L	Breast Bones	BONE
1876	Boob_027_R	Breast Bones	BONE
1877	Boob_028_L	Breast Bones	BONE
1878	Boob_028_R	Breast Bones	BONE
1879	Boob_029_L	Breast Bones	BONE
1880	Boob_029_R	Breast Bones	BONE
1881	Boob_030_L	Breast Bones	BONE
1882	Boob_030_R	Breast Bones	BONE
1883	boob_base_L	Breast Bones	BONE
1884	boob_base_R	Breast Bones	BONE
1885	L_boob_bottem	Breast Bones	BONE
1886	R_boob_bottem	Breast Bones	BONE
1887	Boob_L	Breast Bones	BONE
1888	boob_L2	Breast Bones	BONE
1889	Boob_L.001	Breast Bones	BONE
1890	Boob_L_0	Breast Bones	BONE
1891	Boob_L_1	Breast Bones	BONE
1892	Boob_L_2	Breast Bones	BONE
1893	Boob_L_3	Breast Bones	BONE
1894	Boob_L_4	Breast Bones	BONE
1895	Boob_L_5	Breast Bones	BONE
1896	Boob_L_6	Breast Bones	BONE
1897	Boob_L_7	Breast Bones	BONE
1898	Boob_L_8	Breast Bones	BONE
1899	Boob_L_9	Breast Bones	BONE
1900	Boob_L_10	Breast Bones	BONE
1901	L_boob_left	Breast Bones	BONE
1902	R_boob_left	Breast Bones	BONE
1903	Boob_M_L	Breast Bones	BONE
1904	Boob_M_R	Breast Bones	BONE
1905	Boob_M0_L	Breast Bones	BONE
1906	Boob_M0_R	Breast Bones	BONE
1907	Boob_M1_L	Breast Bones	BONE
1908	Boob_M1_R	Breast Bones	BONE
1909	Boob_M2_L	Breast Bones	BONE
1910	Boob_M2_R	Breast Bones	BONE
1911	Boob_M3_L	Breast Bones	BONE
1912	Boob_M3_R	Breast Bones	BONE
1913	Boob_M4_L	Breast Bones	BONE
1914	Boob_M4_R	Breast Bones	BONE
1915	Boob_M5_L	Breast Bones	BONE
1916	Boob_M5_R	Breast Bones	BONE
1917	Boob_M6_L	Breast Bones	BONE
1918	Boob_M6_R	Breast Bones	BONE
1919	Boob_M7_L	Breast Bones	BONE
1920	Boob_M7_R	Breast Bones	BONE
1921	Boob_M8_L	Breast Bones	BONE
1922	Boob_M8_R	Breast Bones	BONE
1923	Boob_M9_L	Breast Bones	BONE
1924	Boob_M9_R	Breast Bones	BONE
1925	Boob_M10_L	Breast Bones	BONE
1926	Boob_M10_R	Breast Bones	BONE
1927	Boob_R	Breast Bones	BONE
1928	boob_R2	Breast Bones	BONE
1929	Boob_R.001	Breast Bones	BONE
1930	Boob_R_0	Breast Bones	BONE
1931	Boob_R_1	Breast Bones	BONE
1932	Boob_R_2	Breast Bones	BONE
1933	Boob_R_3	Breast Bones	BONE
1934	Boob_R_4	Breast Bones	BONE
1935	Boob_R_5	Breast Bones	BONE
1936	Boob_R_6	Breast Bones	BONE
1937	Boob_R_7	Breast Bones	BONE
1938	Boob_R_8	Breast Bones	BONE
1939	Boob_R_9	Breast Bones	BONE
1940	Boob_R_10	Breast Bones	BONE
1941	L_boob_right	Breast Bones	BONE
1942	R_boob_right	Breast Bones	BONE
1943	Boob_ROOT_L	Breast Bones	BONE
1944	Boob_ROOT_R	Breast Bones	BONE
1945	Boob_Root	Breast Bones	BONE
1946	L_boob_top	Breast Bones	BONE
1947	R_boob_top	Breast Bones	BONE
1948	booba.L	Breast Bones	BONE
1949	booba.R	Breast Bones	BONE
1950	booba2.L	Breast Bones	BONE
1951	booba2.R	Breast Bones	BONE
1952	boobl	Breast Bones	BONE
1953	BoobL0	Breast Bones	BONE
1954	BoobL1	Breast Bones	BONE
1955	BoobL2	Breast Bones	BONE
1956	BoobL3	Breast Bones	BONE
1957	BoobL4	Breast Bones	BONE
1958	BoobL5	Breast Bones	BONE
1959	BoobL6	Breast Bones	BONE
1960	BoobL7	Breast Bones	BONE
1961	BoobL8	Breast Bones	BONE
1962	BoobL9	Breast Bones	BONE
1963	BoobL10	Breast Bones	BONE
1964	boobr	Breast Bones	BONE
1965	BoobR0	Breast Bones	BONE
1966	BoobR1	Breast Bones	BONE
1967	BoobR2	Breast Bones	BONE
1968	BoobR3	Breast Bones	BONE
1969	BoobR4	Breast Bones	BONE
1970	BoobR5	Breast Bones	BONE
1971	BoobR6	Breast Bones	BONE
1972	BoobR7	Breast Bones	BONE
1973	BoobR8	Breast Bones	BONE
1974	BoobR9	Breast Bones	BONE
1975	BoobR10	Breast Bones	BONE
1976	Boobs_L	Breast Bones	BONE
1977	Boobs_R	Breast Bones	BONE
1978	Boobs_0.L	Breast Bones	BONE
1979	Boobs_0.R	Breast Bones	BONE
1980	Boobs_0_L	Breast Bones	BONE
1981	Boobs_0_R	Breast Bones	BONE
1982	Boobs_1.L	Breast Bones	BONE
1983	Boobs_1.R	Breast Bones	BONE
1984	Boobs_2.L	Breast Bones	BONE
1985	Boobs_2.R	Breast Bones	BONE
1986	Boobs_Base	Breast Bones	BONE
1987	BoobsRoot	Breast Bones	BONE
1988	booty_L	Butt Bones	BONE
1989	booty_R	Butt Bones	BONE
1990	Bottom Pussy	Vagina Bones	BONE
1991	braceanus	Anus Bones	BONE
1992	braceanusB	Anus Bones	BONE
1993	bracevagina	Vagina Bones	BONE
1994	bracevaginaL	Vagina Bones	BONE
1995	bracevaginaR	Vagina Bones	BONE
1996	breast.L	Breast Bones	BONE
1997	breast.R	Breast Bones	BONE
1998	breast	Breast Bones	BONE
1999	Breast00_L	Breast Bones	BONE
2000	Breast00_R	Breast Bones	BONE
2001	Breast00_L.000	Breast Bones	BONE
2002	Breast00_L.001	Breast Bones	BONE
2003	Breast00_L.002	Breast Bones	BONE
2004	Breast00_L.003	Breast Bones	BONE
2005	Breast00_L.004	Breast Bones	BONE
2006	Breast00_L.005	Breast Bones	BONE
2007	Breast00_L.006	Breast Bones	BONE
2008	Breast00_L.007	Breast Bones	BONE
2009	Breast00_L.008	Breast Bones	BONE
2010	Breast00_L.009	Breast Bones	BONE
2011	Breast00_L.010	Breast Bones	BONE
2012	Breast00_R.000	Breast Bones	BONE
2013	Breast00_R.001	Breast Bones	BONE
2014	Breast00_R.002	Breast Bones	BONE
2015	Breast00_R.003	Breast Bones	BONE
2016	Breast00_R.004	Breast Bones	BONE
2017	Breast00_R.005	Breast Bones	BONE
2018	Breast00_R.006	Breast Bones	BONE
2019	Breast00_R.007	Breast Bones	BONE
2020	Breast00_R.008	Breast Bones	BONE
2021	Breast00_R.009	Breast Bones	BONE
2022	Breast00_R.010	Breast Bones	BONE
2023	breast01.L	Breast Bones	BONE
2024	breast01.R	Breast Bones	BONE
2025	Breast1.L	Breast Bones	BONE
2026	Breast1.R	Breast Bones	BONE
2027	Breast1_L	Breast Bones	BONE
2028	Breast1_L_J	Breast Bones	BONE
2029	Breast1_R	Breast Bones	BONE
2030	Breast1_R_J	Breast Bones	BONE
2031	breast02.L	Breast Bones	BONE
2032	breast02.R	Breast Bones	BONE
2033	Breast2.L	Breast Bones	BONE
2034	Breast2.R	Breast Bones	BONE
2035	Breast2_L	Breast Bones	BONE
2036	Breast2_L_J	Breast Bones	BONE
2037	Breast2_R	Breast Bones	BONE
2038	Breast2_R.001	Breast Bones	BONE
2039	Breast2_R_J	Breast Bones	BONE
2040	breast03.L	Breast Bones	BONE
2041	breast03.R	Breast Bones	BONE
2042	Breast3.L	Breast Bones	BONE
2043	Breast3.R	Breast Bones	BONE
2044	Breast3_L	Breast Bones	BONE
2045	Breast3_R	Breast Bones	BONE
2046	Breast4.L	Breast Bones	BONE
2047	Breast4.R	Breast Bones	BONE
2048	Breast4_L	Breast Bones	BONE
2049	Breast4_R	Breast Bones	BONE
2050	Breast5_L	Breast Bones	BONE
2051	Breast5_R	Breast Bones	BONE
2052	Breast6_L	Breast Bones	BONE
2053	Breast6_R	Breast Bones	BONE
2054	Breast7_L	Breast Bones	BONE
2055	Breast7_R	Breast Bones	BONE
2056	Breast8_L	Breast Bones	BONE
2057	Breast8_R	Breast Bones	BONE
2058	Breast9_L	Breast Bones	BONE
2059	Breast9_R	Breast Bones	BONE
2060	Breast10_L	Breast Bones	BONE
2061	Breast10_R	Breast Bones	BONE
2062	Breast Left	Breast Bones	BONE
2063	Breast Right	Breast Bones	BONE
2064	breast left 1	Breast Bones	BONE
2065	breast right 1	Breast Bones	BONE
2066	breast left 2	Breast Bones	BONE
2067	breast right 2	Breast Bones	BONE
2068	breast left 3	Breast Bones	BONE
2069	breast right 3	Breast Bones	BONE
2070	breast left 3a	Breast Bones	BONE
2071	breast right 3a	Breast Bones	BONE
2072	breast left 3b	Breast Bones	BONE
2073	breast right 3b	Breast Bones	BONE
2074	breast left 3c	Breast Bones	BONE
2075	breast right 3c	Breast Bones	BONE
2076	breast left 3d	Breast Bones	BONE
2077	breast right 3d	Breast Bones	BONE
2078	breast left 3e	Breast Bones	BONE
2079	breast right 3e	Breast Bones	BONE
2080	breast left 4	Breast Bones	BONE
2081	breast right 4	Breast Bones	BONE
2082	breast left 5	Breast Bones	BONE
2083	breast right 5	Breast Bones	BONE
2084	breast left a	Breast Bones	BONE
2085	breast right a	Breast Bones	BONE
2086	breast left adjB	Breast Bones	BONE
2087	breast right adjB	Breast Bones	BONE
2088	breast left adjL	Breast Bones	BONE
2089	breast right adjL	Breast Bones	BONE
2090	breast left adjR	Breast Bones	BONE
2091	breast right adjR	Breast Bones	BONE
2092	breast left adjU	Breast Bones	BONE
2093	breast right adjU	Breast Bones	BONE
2094	breast left b	Breast Bones	BONE
2095	breast right b	Breast Bones	BONE
2096	breast left base	Breast Bones	BONE
2097	breast right base	Breast Bones	BONE
2098	breast left c	Breast Bones	BONE
2099	breast right c	Breast Bones	BONE
2100	breast left d	Breast Bones	BONE
2101	breast right d	Breast Bones	BONE
2102	breast left e	Breast Bones	BONE
2103	breast right e	Breast Bones	BONE
2104	breast left nipple	Breast Bones	BONE
2105	breast right nipple	Breast Bones	BONE
2106	breast left nipple 1	Breast Bones	BONE
2107	breast right nipple 1	Breast Bones	BONE
2108	breast left nipple 2	Breast Bones	BONE
2109	breast right nipple 2	Breast Bones	BONE
2110	breast left root	Breast Bones	BONE
2111	breast right root	Breast Bones	BONE
2112	breast left tip	Breast Bones	BONE
2113	breast right tip	Breast Bones	BONE
2114	breast left top 1	Breast Bones	BONE
2115	breast right top 1	Breast Bones	BONE
2116	breast left top 2	Breast Bones	BONE
2117	breast right top 2	Breast Bones	BONE
2118	breast a left	Breast Bones	BONE
2119	breast a right	Breast Bones	BONE
2120	breast b left	Breast Bones	BONE
2121	breast b right	Breast Bones	BONE
2122	breast c left	Breast Bones	BONE
2123	breast c right	Breast Bones	BONE
2124	breast d left	Breast Bones	BONE
2125	breast d right	Breast Bones	BONE
2126	breast e left	Breast Bones	BONE
2127	breast e right	Breast Bones	BONE
2128	Breast L	Breast Bones	BONE
2129	Breast L1	Breast Bones	BONE
2130	Breast L.000	Breast Bones	BONE
2131	Breast L.001	Breast Bones	BONE
2132	Breast L.002	Breast Bones	BONE
2133	Breast L.003	Breast Bones	BONE
2134	Breast L.004	Breast Bones	BONE
2135	Breast L.005	Breast Bones	BONE
2136	Breast L.006	Breast Bones	BONE
2137	Breast L.007	Breast Bones	BONE
2138	Breast L.008	Breast Bones	BONE
2139	Breast L.009	Breast Bones	BONE
2140	Breast L.010	Breast Bones	BONE
2141	Breast Left0	Breast Bones	BONE
2142	Breast Left1	Breast Bones	BONE
2143	Breast Left2	Breast Bones	BONE
2144	Breast Left3	Breast Bones	BONE
2145	Breast Left4	Breast Bones	BONE
2146	Breast Left5	Breast Bones	BONE
2147	Breast Left6	Breast Bones	BONE
2148	Breast Left7	Breast Bones	BONE
2149	Breast Left8	Breast Bones	BONE
2150	Breast Left9	Breast Bones	BONE
2151	BREAST MUSCLE.L	Breast Bones	BONE
2152	BREAST MUSCLE.R	Breast Bones	BONE
2153	Breast R	Breast Bones	BONE
2154	Breast R1	Breast Bones	BONE
2155	Breast R.000	Breast Bones	BONE
2156	Breast R.001	Breast Bones	BONE
2157	Breast R.002	Breast Bones	BONE
2158	Breast R.003	Breast Bones	BONE
2159	Breast R.004	Breast Bones	BONE
2160	Breast R.005	Breast Bones	BONE
2161	Breast R.006	Breast Bones	BONE
2162	Breast R.007	Breast Bones	BONE
2163	Breast R.008	Breast Bones	BONE
2164	Breast R.009	Breast Bones	BONE
2165	Breast R.010	Breast Bones	BONE
2166	Breast Right0	Breast Bones	BONE
2167	Breast Right1	Breast Bones	BONE
2168	Breast Right2	Breast Bones	BONE
2169	Breast Right3	Breast Bones	BONE
2170	Breast Right4	Breast Bones	BONE
2171	Breast Right5	Breast Bones	BONE
2172	Breast Right6	Breast Bones	BONE
2173	Breast Right7	Breast Bones	BONE
2174	Breast Right8	Breast Bones	BONE
2175	Breast Right9	Breast Bones	BONE
2176	breast.000.L	Breast Bones	BONE
2177	breast.000.R	Breast Bones	BONE
2178	Breast.00.l	Breast Bones	BONE
2179	Breast.00.R	Breast Bones	BONE
2180	Breast.00_L	Breast Bones	BONE
